topic_label,review_count,avg_star_rating,frequency_score,severity_score,trend_score,priority_score,rank,recommended_action
General App Dissatisfaction,5118,1.6819069949198906,1.0,0.8295232512700274,0.31007345225603355,0.8108716658322148,1,Conduct user interviews to identify root causes of broad dissatisfaction
Ads and Premium Upsell,3753,1.5646149746869171,0.7332942555685815,0.8588462563282707,0.1967471143756558,0.6636504275579032,2,Reduce ad frequency for free users and clarify premium value proposition
App Crashes and Bugs,1066,1.7842401500938085,0.2082844861273935,0.8039399624765479,0.11647429171038824,0.3686190901487388,3,Prioritize crash reporting and fix regression introduced in version 9.1.46
Widget Issues,625,1.7936,0.12211801484955061,0.8016,0.1180482686253935,0.32514866114985397,4,Restore old widget functionality and fix new widget display issues
Subscription and Payment Issues,451,1.3791574279379157,0.08812035951543572,0.9052106430155211,0.026232948583420776,0.32086996237905835,5,Improve payment flow and refund process transparency
AI DJ and AI Artists,541,1.5711645101663585,0.105705353653771,0.8572088724584104,0.03672612801678909,0.3173605641677664,6,Add opt-out option for AI-generated content in user settings
Subscription Cancellation Issues,28,1.0714285714285714,0.005470887065259867,0.9821428571428572,0.0005246589716684155,0.2974832324698208,7,Investigate and monitor
Forced to Pay for Features,239,1.5439330543933054,0.04669792887846815,0.8640167364016736,0.013641133263378805,0.2852822120124119,8,Reconsider which features are locked behind premium
Shuffle Algorithm,412,1.8325242718446602,0.08050019538882376,0.791868932038835,0.023084994753410283,0.2824277762567445,9,Revert smart shuffle or add option to use true random shuffle
Login and Account Issues,222,1.6396396396396395,0.04337631887456037,0.8400900900900901,0.012067156348373556,0.2761286177339819,10,Fix persistent logout bug and improve account recovery flow
Payment Not Processed,58,1.4310344827586208,0.011332551778038297,0.8922413793103448,0.0031479538300104933,0.27396828044812466,11,Investigate and monitor
App Won't Load or Connect,28,1.3928571428571428,0.005470887065259867,0.9017857142857143,0.0031479538300104933,0.2739007485843463,12,Investigate and monitor
App Getting Worse with Updates,52,1.4423076923076923,0.01016021883548261,0.8894230769230769,0.00472193074501574,0.2728514186436675,13,Investigate and monitor
Search Function Issues,22,1.4090909090909092,0.0042985541227041815,0.8977272727272727,0.0015739769150052466,0.27178225426253494,14,Investigate and monitor
Ads on Premium and Podcasts,170,1.6588235294117648,0.03321610003907777,0.8352941176470587,0.015215110178384051,0.27023930734933327,15,Investigate ad serving on premium accounts and fix podcast ad injection
Charged During Free Trial,22,1.4545454545454546,0.0042985541227041815,0.8863636363636364,0.0015739769150052466,0.268373163353444,16,Investigate and monitor
Premium Pricing and Ads,169,1.680473372781065,0.033020711215318486,0.8298816568047338,0.007869884575026232,0.26704882956408466,17,Investigate and monitor
Podcast Playback Issues,152,1.6776315789473684,0.029699101211410707,0.830592105263158,0.012067156348373556,0.2664406134543274,18,Investigate and monitor
Bluetooth and Car Integration,89,1.595505617977528,0.017389605314576007,0.851123595505618,0.005246589716684155,0.2650811992523102,19,Investigate and monitor
Chromecast and Device Casting,68,1.5735294117647058,0.013286440015631106,0.8566176470588236,0.0015739769150052466,0.2639433095084637,20,Investigate and monitor
Family and Duo Plan Issues,21,1.5714285714285714,0.004103165298944901,0.8571428571428572,0.0015739769150052466,0.2595092351753307,21,Investigate and monitor
Cannot Choose Songs on Free,138,1.7536231884057971,0.026963657678780773,0.8115942028985508,0.008919202518363064,0.25874393021262826,22,Investigate and monitor
