content,score,sentiment,predicted_sentiment,appVersion
highly recommend you don't have to be on the app to listen to music even without premium,5,Positive,Negative,9.1.62.1601
basically i downloaded this app so i can listen to music but i can't hear a thing,4,Positive,Negative,
"I disabled YT and YTmusic from my phone. I hate Google YT team so much rn. I'm sorry, I should have NEVER LEFT!",5,Positive,Negative,9.1.62.1601
bro I can't type you can try this with 0 problems try it now,5,Positive,Negative,9.1.62.1601
"It doesn't always save the songs in the selected playlists, the old way was more user friendly because there was a Confirm/Save button and a clear button.",4,Positive,Negative,9.1.62.1601
"It's kinda laggy on some of my devices and has a lot of ads but honestly I couldn't switch to another music app. There are songs on here that aren't on other apps, and I have Playlists with hundreds of songs I wouldn't want to have to make on other apps again",4,Positive,Negative,9.1.60.1970
T hembekile,5,Positive,Negative,
I love having a music streaming platform with everything in one place but the last few weeks the app hasn't been running properly I don't know what caused it,4,Positive,Negative,
spotify has all types of music but won't let me choose a lot to play and on my Playlist it puts random songs that I don't like on there,5,Positive,Negative,9.1.58.1567
so bad my phone,5,Positive,Negative,9.1.62.1601
"the price for the premium is legit. I would like to suggest another payement amount to eliminate the limited number of song choices per 24 hours. As a music lover myself, regardless of genre, sometimes the music doesn't match my mood, and not being able to change the song is frustrating.",4,Positive,Negative,9.1.62.1601
let me get this straight every time you want to reply a song it says you have to be premium and if you want. to skip a song you have to be premium it sucks that you have to be premium for everything so yeah I'll rate you guys a 4.2/5 .,4,Positive,Negative,9.1.60.1970
"I don't ever write reviews for anything but whatever it is you guys have done with the layout of this recently needs to change immediately back to what it was before because it was a terrible idea, fire whoever picked that no joke",5,Positive,Negative,9.1.62.1601
Too much ads,4,Positive,Negative,9.1.62.1601
great only thing is with family plan people under my plan keep connecting to mine while playing music but pandora is way worse and ends uo costing more,4,Positive,Negative,9.1.60.1970
"Spotify Spotify Spotify what have you done to the lyrics section. Who said the past lyrics section was bad... now I have to scroll and find the ""show lyrics"" while I was just able to click the section to show my lyrics",4,Positive,Negative,9.1.62.1601
Slow to start up.,4,Positive,Negative,9.1.62.1601
to many ads they dont need money that bad,4,Positive,Negative,9.1.62.1601
hi I am Sekar this is best for me,5,Positive,Negative,
premium option is not good,5,Positive,Negative,9.1.62.1601
just make it ad free without any money 💰,5,Positive,Negative,
Spotify playlist be jamming.,5,Positive,Negative,9.1.62.1601
What is the issue you go from: blondie to marilyn manson then Stacie Q to godsmack. where is your bio rhythms in this? this your DJ? really and I dumb enough to pay for it 😆,4,Positive,Negative,9.1.62.1601
bro agr mene ek song lgaya h to uski hi vibe chlegi pr ads Boht aate h,5,Positive,Negative,9.1.62.1601
"The migration from YouTube Music to Spotify was straightforward. The sound quality appears to be superior, especially considering my varied musical tastes.",5,Positive,Negative,9.1.62.1601
"It sucks to have the new wierd method to play a certain song, I have to continuously go through a bunch of music whenever I try to play a certain song in a certain album and single.",4,Positive,Negative,9.1.62.1601
I contins ads Very much,4,Positive,Negative,9.1.60.1970
loading is ultra slow,4,Positive,Negative,9.1.62.1601
always this ads disturb us to hear,4,Positive,Negative,
Well at one point I was trying to watch a podcast but Spotify was gilitching bad it was like every 2 seconds the podcast would pause but other wise it was good.,4,Positive,Negative,9.1.62.1601
Music libray unmatched,5,Positive,Negative,9.1.62.1601
it's like sportify knows what I want to listen to before I even type the song quality is the best,5,Positive,Negative,9.1.62.1601
too many adds,5,Positive,Negative,9.1.60.1970
this is unacceptable because this is only one app add free and no charges. Really feeling very much better.,5,Positive,Negative,9.1.58.1567
W ads😖,1,Negative,Positive,9.1.62.1601
too ads,5,Positive,Negative,9.1.60.1970
this good music apps my home is song it big waring me 👏💯🇮🇳👍,2,Negative,Positive,9.1.62.1601
"Can we get a better edit order of songs?... For example i want to make my playlist alphabetical for the public but I can't.. Because that order is only CLIENT, not a ""Make this as a default order?"" like because as u keep adding songs in your playlist (i have 1,2k) it's getting tougher to find a specific song because they're all jumbled. I wish yall add that feature plsss it will be so much better like omggg i dont want to manually grab the songs and torture my fingers solely for rearrangement",5,Positive,Negative,9.1.42.2058
hate when songs are dublicated and hate when songs are disabled,4,Positive,Negative,9.1.62.1601
"honestly my favorite apps but minus points bc,what are y'all's even doing.i was just listening to ado then I wanted to pick a song and it says. ""pick a song to listen for the next day or whatever . mind you it's evening here Evening here , I repeat EVENING HERE hello. it's not even midnight yet so yeh",4,Positive,Negative,9.1.62.1601
